Country,Average (m^3/day),Waterworld (2013) (m^3 / day),Wikipedia (n.d.) (m^3 / day),Other Sources,Source,Oil Production (bbl/day),Average Temperature (deg C),Population
Algeria,2192027.5,2364055,2020000,,,1171000,22.5,40375954
Aruba,42000,,42000,,,2800,28,104263
Australia,2071077,1823154,,2319000,https://en.wikipedia.org/wiki/Seawater_desalination_in_Australia,292000,21.65,24309330
Bahrain,308760,,308760,,,64000,27.15,1396829
Chile,54000,,,54000,https://www.acciona.com/business-divisions/infrastructure/water/emblematic-projects/copiapo-desalination-plant/,15000,8.45,18131850
China,1494198,1494198,,,,3938000,6.95,1382323332
Cyprus,405000,,,405000,http://www.moa.gov.cy/moa/wdd/wdd.nsf/All/E98E46A1550BE936C2257B8F0039DDBD/$file/4th_conf%2007JUN2013.pdf,0,18.45,1176598
Egypt,36000,,36000,,,582000,22.1,93383574
Israel,1615676.5,1532723,1698630,,,5800,19.2,8192463
Kuwait,2586761,2586761,,,,3000000,25.35,4007146
Libya,1048424,1048424,,,,528000,21.8,6330159
Malta,50000,,50000,,,0,19.2,419615
Oman,579000,,,579000,http://www.ifh.uni-karlsruhe.de/science/envflu/research/brinedis/publications/Article%20AWW_XXXII_12.pdf,1008435,25.6,4654471
Qatar,1780708,1780708,,,,639000,27.15,2291368
Saudi Arabia,9170391,9170391,,,,10050000,24.65,32157974
Singapore,448500,,448500,,,20000,26.45,5696506
South Africa,26000,,26000,,,2000,17.75,54978907
Spain,3781314,3781314,,,,40000,13.3,20810816
Trinidad & Tobago,109000,,109000,,,75000,25.75,1364973
UAE,8381299,8381299,,,,3188000,27,9266971
United States,1224945,,1224945,,,8744000,8.55,324118787