Timestamp,Do you understand the instructions and wish to participate in the survey?,1. How often do you exercise?,2. How does exercise impact your stress levels?,"3. How many times, in an average month, do you perform each of the following types of exercise: [Individual exercise (running, hiking, or biking alone)]","3. How many times, in an average month, do you perform each of the following types of exercise: [Individual exercise in a group setting (going to the gym, yoga classes)]","3. How many times, in an average month, do you perform each of the following types of exercise: [Individual exercise within a small group (running group, biking group)]","3. How many times, in an average month, do you perform each of the following types of exercise: [Team sport (basketball, football, softball)]","3. How many times, in an average month, do you perform each of the following types of exercise: [Other (please elaborate in the next question)]","3*. If you answered more than 0 for ""Other"" above, please elaborate about the type of exercise in nature.","4. If you perform any exercise in a group, how often do you spend time socially with members of the group?","5. If you perform any exercise in a group, how does the social aspect of your exercise (interactions with teammates) contribute to your overall stress?","6. In the last month, how often have you felt that you were unable to control the important things in your life?","7. In the last month, how often have you felt confident about your ability to handle your personal problems?","8. In the last month, how often have you felt that things were going your way?","9. In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?",10. How old are you?,11. What is your sex?,Coding,Value,Exercise Frequency,Individial Exercise,Group Exercise,Total Exercise,Exercise - Stress,Group Social,Social Stress,PSS
2/28/2016 17:49:24,Yes,Weekly (once or twice a week),Exercise somewhat eases my stress,1,4,0,0,0,,,,Sometimes,Fairly often,Sometimes,Almost never,23,Female,Rarely (less than once a month),1,3,5,0,5,1,#N/A,#N/A,6
2/28/2016 18:22:09,Yes,Often (three to four times a week),Exercise is overall neutral to my stress,5,0,0,2,5,Walking around SF if that counts,,,Almost never,Fairly often,Sometimes,Sometimes,19,Male,Not often (more than once a month but less than once a week),2,4,10,2,12,0,#N/A,#N/A,6
2/28/2016 19:05:15,Yes,Weekly (once or twice a week),Exercise somewhat eases my stress,5,2,0,0,0,,,,Fairly often,Fairly often,Fairly often,Sometimes,19,Female,Weekly (once or twice a week),3,3,7,0,7,1,#N/A,#N/A,7
2/28/2016 19:13:22,Yes,Not often (more than once a month but less than once a week),Exercise is overall neutral to my stress,1,0,0,0,0,,Weekly (once or twice a week),The social aspect of my exercise somewhat eases my stress,Very often,Almost never,Sometimes,Fairly often,20,Female,Often (three to four times a week),4,2,1,0,1,0,3,1,12
2/28/2016 21:50:50,Yes,Weekly (once or twice a week),Exercise somewhat eases my stress,5,0,0,0,0,Hiking ,,,Almost never,Fairly often,Fairly often,Almost never,19,Male,Very often (five or more times a week),5,3,5,0,5,1,#N/A,#N/A,4
2/28/2016 23:24:15,Yes,Weekly (once or twice a week),Exercise somewhat eases my stress,3,0,0,0,0,,,,Never,Fairly often,Fairly often,Never,20,Male,,,3,3,0,3,1,#N/A,#N/A,2
2/29/2016 8:20:27,Yes,Very often (five or more times a week),Exercise somewhat eases my stress,5,0,2,5,0,,Not often (more than once a month but less than once a week),The social aspect of my exercise overall neutral to my stress,Almost never,Fairly often,Fairly often,Almost never,31,Male,Exercise very much adds to my stress,-2,5,5,7,12,1,2,0,4
2/29/2016 8:21:51,Yes,Very often (five or more times a week),Exercise somewhat eases my stress,5,0,5,0,0,,Often (three to four times a week),The social aspect of my exercise overall neutral to my stress,Almost never,Very often,Very often,Never,62,Male,Exercise somewhat adds to my stress,-1,5,5,5,10,1,4,0,1
2/29/2016 8:23:27,Yes,Weekly (once or twice a week),Exercise somewhat eases my stress,5,0,0,0,0,,,,Fairly often,Fairly often,Sometimes,Almost never,26,Male,Exercise is overall neutral to my stress,0,3,5,0,5,1,#N/A,#N/A,7
2/29/2016 8:25:08,Yes,Weekly (once or twice a week),Exercise very much eases my stress,5,3,0,0,0,,Not often (more than once a month but less than once a week),The social aspect of my exercise somewhat adds to my stress,Very often,Very often,Fairly often,Fairly often,19,Female,Exercise somewhat eases my stress,1,3,8,0,8,2,2,-1,8
2/29/2016 8:26:49,Yes,Weekly (once or twice a week),Exercise somewhat eases my stress,2,5,0,0,0,,Rarely (less than once a month),,Fairly often,Sometimes,Sometimes,Very often,24,Female,Exercise very much eases my stress,2,3,7,0,7,1,1,#N/A,11
2/29/2016 8:31:59,Yes,Weekly (once or twice a week),Exercise very much eases my stress,1,0,0,0,0,,,,Sometimes,Fairly often,Sometimes,Almost never,37,Male,,,3,1,0,1,2,#N/A,#N/A,6
2/29/2016 8:33:17,Yes,Often (three to four times a week),Exercise somewhat eases my stress,4,2,0,0,0,,Rarely (less than once a month),The social aspect of my exercise overall neutral to my stress,Fairly often,Sometimes,Sometimes,Fairly often,17,Female,Never,0,4,6,0,6,1,1,0,10
2/29/2016 8:35:11,Yes,Not often (more than once a month but less than once a week),Exercise somewhat eases my stress,3,3,0,0,0,,,,Sometimes,Sometimes,Fairly often,Fairly often,19,Female,Almost never,1,2,6,0,6,1,#N/A,#N/A,8
2/29/2016 8:36:19,Yes,Often (three to four times a week),Exercise very much eases my stress,5,0,5,0,0,,Weekly (once or twice a week),The social aspect of my exercise somewhat eases my stress,Sometimes,Fairly often,Fairly often,Almost never,22,Female,Sometimes,2,4,5,5,10,2,3,1,5
2/29/2016 8:38:07,Yes,Not often (more than once a month but less than once a week),Exercise somewhat eases my stress,1,1,0,0,0,,Rarely (less than once a month),The social aspect of my exercise overall neutral to my stress,Sometimes,Fairly often,Sometimes,Almost never,33,Male,Fairly often,3,2,2,0,2,1,1,0,6
2/29/2016 8:38:35,Yes,Not often (more than once a month but less than once a week),Exercise very much eases my stress,3,0,0,1,0,,,,Almost never,Very often,Fairly often,Almost never,25,Male,Very often,4,2,3,1,4,2,#N/A,#N/A,3
2/29/2016 8:38:53,Yes,Weekly (once or twice a week),Exercise very much eases my stress,5,2,0,0,0,,Often (three to four times a week),The social aspect of my exercise somewhat eases my stress,Sometimes,Sometimes,Fairly often,Sometimes,14,Female,,,3,7,0,7,2,4,1,7
2/29/2016 8:40:32,Yes,Often (three to four times a week),Exercise somewhat eases my stress,0,5,0,0,1,Hiking with others,Weekly (once or twice a week),The social aspect of my exercise somewhat eases my stress,Sometimes,Very often,Fairly often,Sometimes,25,Female,The social aspect of my exercise very much adds to my stress,-2,4,6,0,6,1,3,1,5
2/29/2016 8:42:27,Yes,Very often (five or more times a week),Exercise very much eases my stress,5,5,5,0,0,,Weekly (once or twice a week),The social aspect of my exercise somewhat eases my stress,Sometimes,Fairly often,Sometimes,Almost never,24,Female,The social aspect of my exercise somewhat adds to my stress,-1,5,10,5,15,2,3,1,6
2/29/2016 8:43:35,Yes,Weekly (once or twice a week),Exercise somewhat eases my stress,4,3,0,4,0,,Not often (more than once a month but less than once a week),The social aspect of my exercise very much eases my stress,Sometimes,Fairly often,Sometimes,Almost never,23,Female,The social aspect of my exercise overall neutral to my stress,0,3,7,4,11,1,2,2,6
2/29/2016 8:45:10,Yes,Not often (more than once a month but less than once a week),Exercise is overall neutral to my stress,1,0,0,0,0,,,,Almost never,Very often,Fairly often,Almost never,29,Female,The social aspect of my exercise somewhat eases my stress,1,2,1,0,1,0,#N/A,#N/A,3
2/29/2016 8:45:19,Yes,Weekly (once or twice a week),Exercise somewhat eases my stress,4,2,2,0,0,no,Weekly (once or twice a week),The social aspect of my exercise very much eases my stress,Very often,Never,Almost never,Very often,19,Female,The social aspect of my exercise very much eases my stress,2,3,6,2,8,1,3,2,15
2/29/2016 8:48:50,Yes,Often (three to four times a week),Exercise somewhat eases my stress,1,5,0,0,0,,Rarely (less than once a month),,Sometimes,Fairly often,Very often,Sometimes,19,Female,,,4,6,0,6,1,1,#N/A,5
2/29/2016 8:57:13,Yes,Often (three to four times a week),Exercise somewhat eases my stress,3,3,0,0,0,,Weekly (once or twice a week),The social aspect of my exercise somewhat eases my stress,Fairly often,Sometimes,Sometimes,Fairly often,18,Female,,,4,6,0,6,1,3,1,10
2/29/2016 9:02:08,Yes,Weekly (once or twice a week),Exercise somewhat eases my stress,0,5,4,0,0,,Rarely (less than once a month),The social aspect of my exercise overall neutral to my stress,Sometimes,Fairly often,Fairly often,Almost never,26,Male,,,3,5,4,9,1,1,0,5
2/29/2016 9:09:38,Yes,Very often (five or more times a week),Exercise somewhat eases my stress,0,0,0,0,5,"personal exercise at home infront of the tv, the program is called ""Insanity-max30""",,,Never,Very often,Fairly often,Never,25,Male,,,5,5,0,5,1,#N/A,#N/A,1
2/29/2016 9:13:06,Yes,Rarely (less than once a month),Exercise is overall neutral to my stress,2,1,0,0,0,,,,Fairly often,Sometimes,Sometimes,Sometimes,21,Female,,,1,3,0,3,0,#N/A,#N/A,9
2/29/2016 9:13:43,Yes,Rarely (less than once a month),Exercise is overall neutral to my stress,1,0,0,0,0,,,,Almost never,Very often,Sometimes,Never,26,Male,,,1,1,0,1,0,#N/A,#N/A,3
2/29/2016 9:16:46,Yes,Very often (five or more times a week),Exercise very much eases my stress,4,5,1,0,0,,Rarely (less than once a month),The social aspect of my exercise overall neutral to my stress,Sometimes,Sometimes,Sometimes,Sometimes,18,Female,,,5,9,1,10,2,1,0,8
2/29/2016 9:17:46,Yes,Weekly (once or twice a week),Exercise somewhat eases my stress,0,2,0,0,0,,Rarely (less than once a month),The social aspect of my exercise overall neutral to my stress,Sometimes,Very often,Fairly often,Almost never,24,Female,,,3,2,0,2,1,1,0,4
2/29/2016 9:26:54,Yes,Weekly (once or twice a week),Exercise somewhat eases my stress,0,0,0,5,0,,Weekly (once or twice a week),The social aspect of my exercise somewhat eases my stress,Fairly often,Fairly often,Fairly often,Almost never,33,Male,,,3,0,5,5,1,3,1,6
2/29/2016 9:28:34,Yes,Not often (more than once a month but less than once a week),Exercise is overall neutral to my stress,5,0,0,0,0,,,,Never,Fairly often,Fairly often,Almost never,29,Male,,,2,5,0,5,0,#N/A,#N/A,3
2/29/2016 9:35:52,Yes,Often (three to four times a week),Exercise is overall neutral to my stress,1,0,0,0,0,,,,Almost never,Fairly often,Fairly often,Almost never,24,Female,,,4,1,0,1,0,#N/A,#N/A,4
2/29/2016 9:47:53,Yes,Weekly (once or twice a week),Exercise somewhat eases my stress,0,1,0,0,0,,Rarely (less than once a month),The social aspect of my exercise overall neutral to my stress,Fairly often,Almost never,Sometimes,Fairly often,24,Female,,,3,1,0,1,1,1,0,11
2/29/2016 9:51:13,Yes,Rarely (less than once a month),,0,0,0,1,0,,,,Fairly often,Sometimes,Almost never,Fairly often,25,Male,,,1,0,1,1,#N/A,#N/A,#N/A,11
2/29/2016 9:51:48,Yes,Weekly (once or twice a week),Exercise somewhat eases my stress,4,0,0,0,0,,,,Sometimes,Fairly often,Fairly often,Fairly often,23,Male,,,3,4,0,4,1,#N/A,#N/A,7
2/29/2016 10:07:54,Yes,Not often (more than once a month but less than once a week),Exercise somewhat eases my stress,1,2,0,0,0,,,,Sometimes,Sometimes,Sometimes,Almost never,24,Female,,,2,3,0,3,1,#N/A,#N/A,7
2/29/2016 10:20:44,Yes,Not often (more than once a month but less than once a week),Exercise is overall neutral to my stress,1,1,0,0,0,,Rarely (less than once a month),,Almost never,Fairly often,Fairly often,Never,28,Male,,,2,2,0,2,0,1,#N/A,3
2/29/2016 10:27:15,Yes,Often (three to four times a week),Exercise somewhat eases my stress,1,2,4,5,0,,Often (three to four times a week),The social aspect of my exercise very much eases my stress,Sometimes,Very often,Very often,Almost never,27,Female,,,4,3,9,12,1,4,2,3
2/29/2016 10:29:15,Yes,Often (three to four times a week),Exercise somewhat eases my stress,5,3,5,0,3,"I don't think sex is necessarily an individual exercise or a team sport, so I made it it's own category",Often (three to four times a week),The social aspect of my exercise somewhat eases my stress,Sometimes,Fairly often,Fairly often,Almost never,27,Female,,,4,11,5,16,1,4,1,5
2/29/2016 10:33:41,Yes,Often (three to four times a week),Exercise very much eases my stress,3,0,0,0,5,I dance couples dance. The dance is performed with a partner and in a large group,Not often (more than once a month but less than once a week),The social aspect of my exercise overall neutral to my stress,Almost never,Sometimes,Fairly often,Never,21,Female,,,4,8,0,8,2,2,0,4
2/29/2016 10:48:03,Yes,Very often (five or more times a week),Exercise is overall neutral to my stress,5,0,0,0,0,Walking/running,,,Almost never,Very often,Fairly often,Almost never,54,Female,,,5,5,0,5,0,#N/A,#N/A,3
2/29/2016 11:09:16,Yes,Not often (more than once a month but less than once a week),Exercise somewhat eases my stress,0,1,0,0,0,,Rarely (less than once a month),The social aspect of my exercise very much eases my stress,Fairly often,Very often,Fairly often,Never,25,Female,,,2,1,0,1,1,1,2,4
2/29/2016 11:30:37,Yes,Weekly (once or twice a week),Exercise somewhat eases my stress,5,0,0,4,0,,Not often (more than once a month but less than once a week),The social aspect of my exercise very much eases my stress,Fairly often,Very often,Fairly often,Very often,24,Male,,,3,5,4,9,1,2,2,8
2/29/2016 11:34:04,Yes,Not often (more than once a month but less than once a week),Exercise is overall neutral to my stress,3,0,0,0,0,,,,Never,Never,Sometimes,Never,26,Male,,,2,3,0,3,0,#N/A,#N/A,6
2/29/2016 12:36:08,Yes,Weekly (once or twice a week),Exercise somewhat eases my stress,0,0,0,4,5,i walk to work and back (half an hour each way).,Rarely (less than once a month),The social aspect of my exercise somewhat eases my stress,Almost never,Fairly often,Fairly often,Never,25,Male,,,3,5,4,9,1,1,1,3
2/29/2016 13:38:24,Yes,Weekly (once or twice a week),Exercise somewhat eases my stress,0,1,0,0,0,Gym,Rarely (less than once a month),The social aspect of my exercise overall neutral to my stress,Almost never,Fairly often,Sometimes,Sometimes,25.5,Male,,,3,1,0,1,1,1,0,6
2/29/2016 15:17:34,Yes,Very often (five or more times a week),Exercise very much eases my stress,5,5,0,0,0,,,,Sometimes,Very often,Sometimes,Sometimes,24,Male,,,5,10,0,10,2,#N/A,#N/A,6
2/29/2016 16:20:08,Yes,Weekly (once or twice a week),Exercise very much eases my stress,1,1,1,1,0,,Very often (five or more times a week),The social aspect of my exercise very much eases my stress,Sometimes,Fairly often,Sometimes,Sometimes,20,Male,,,3,2,2,4,2,5,2,7
2/29/2016 16:21:14,Yes,Very often (five or more times a week),Exercise very much eases my stress,0,0,0,0,5,I practice muay-thai,Weekly (once or twice a week),The social aspect of my exercise somewhat eases my stress,Fairly often,Fairly often,Sometimes,Almost never,22,Female,,,5,5,0,5,2,3,1,7
2/29/2016 17:33:12,Yes,Often (three to four times a week),Exercise very much eases my stress,0,4,0,0,4,CrossFit ,Weekly (once or twice a week),The social aspect of my exercise very much eases my stress,Almost never,Fairly often,Fairly often,Sometimes,68,Female,,,4,8,0,8,2,3,2,5
2/29/2016 18:07:30,Yes,Often (three to four times a week),Exercise somewhat adds to my stress,0,5,0,0,0,,Very often (five or more times a week),The social aspect of my exercise somewhat adds to my stress,Almost never,Sometimes,Fairly often,Almost never,18,Male,,,4,5,0,5,-1,5,-1,5
2/29/2016 19:52:49,Yes,Very often (five or more times a week),Exercise very much eases my stress,5,5,0,0,0,,Rarely (less than once a month),The social aspect of my exercise somewhat eases my stress,Sometimes,Fairly often,Fairly often,Almost never,24,Female,,,5,10,0,10,2,1,1,5
2/29/2016 18:07:30,Yes,Often (three to four times a week),Exercise somewhat adds to my stress,0,5,0,0,0,,Very often (five or more times a week),The social aspect of my exercise somewhat adds to my stress,Almost never,Sometimes,Fairly often,Almost never,18,Male,,,4,5,0,5,-1,5,-1,5
2/29/2016 19:52:49,Yes,Very often (five or more times a week),Exercise very much eases my stress,5,5,0,0,0,,Rarely (less than once a month),The social aspect of my exercise somewhat eases my stress,Sometimes,Fairly often,Fairly often,Almost never,24,Female,,,5,10,0,10,2,1,1,5
2/29/2016 21:28:38,Yes,Very often (five or more times a week),Exercise somewhat eases my stress,5,5,0,0,0,,,,Fairly often,Fairly often,Fairly often,Almost never,25,Male,,,5,10,0,10,1,#N/A,#N/A,6
2/29/2016 21:42:00,Yes,Very often (five or more times a week),Exercise very much eases my stress,3,5,3,4,0,,Not often (more than once a month but less than once a week),The social aspect of my exercise somewhat eases my stress,Almost never,Almost never,Sometimes,Almost never,27,Male,,,5,8,7,15,2,2,1,7
2/29/2016 22:34:15,Yes,Often (three to four times a week),Exercise very much eases my stress,0,5,5,0,5,I work out in a cross fit gym.  Class size varies but i am not alone.,Rarely (less than once a month),The social aspect of my exercise somewhat adds to my stress,Sometimes,Very often,Fairly often,Never,27,Male,,,4,10,5,15,2,1,-1,3
2/29/2016 22:48:51,Yes,Weekly (once or twice a week),Exercise somewhat eases my stress,3,1,1,1,0,Other,Weekly (once or twice a week),The social aspect of my exercise somewhat eases my stress,Almost never,Almost never,Almost never,Very often,19,Male,,,3,4,2,6,1,3,1,11
2/29/2016 23:43:32,Yes,Weekly (once or twice a week),Exercise somewhat eases my stress,0,4,0,0,0,,Rarely (less than once a month),The social aspect of my exercise overall neutral to my stress,Never,Very often,Fairly often,Never,28,Male,,,3,4,0,4,1,1,0,1
3/1/2016 1:44:20,Yes,Rarely (less than once a month),Exercise somewhat adds to my stress,0,0,0,0,0,,,,Sometimes,Sometimes,Fairly often,Sometimes,24,Female,,,1,0,0,0,-1,#N/A,#N/A,7
3/2/2016 15:07:19,Yes,Weekly (once or twice a week),Exercise somewhat eases my stress,1,4,0,0,4,Partner dancing,Rarely (less than once a month),The social aspect of my exercise somewhat eases my stress,Almost never,Sometimes,Sometimes,Fairly often,25,Female,,,3,9,0,9,1,1,1,8